Grade,G2,G1,failures,schoolsup_yes,absences,Medu
11,11,13,0,0,2,2
12,12,12,0,0,14,4
12,11,10,0,0,2,4
12,12,13,0,0,0,4
18,18,18,0,0,6,2
13,12,12,0,0,4,2
8,8,6,3,0,16,3
5,5,3,1,0,8,3
15,15,13,0,0,0,0
8,8,6,1,0,0,3
10,10,7,0,1,6,3
8,9,6,1,0,4,2
8,9,8,0,0,0,2
12,12,8,0,0,0,2
8,9,7,1,0,2,1
13,12,14,0,0,6,4
11,11,11,0,0,12,4
14,14,15,0,0,8,2
18,18,17,0,0,21,4
8,8,8,0,0,2,4
12,12,13,0,0,1,3
9,9,10,0,0,4,3
17,17,17,0,0,13,3
10,9,9,0,0,2,3
11,10,12,0,0,8,4
10,9,10,0,0,10,4
9,9,9,2,0,15,3
14,14,15,0,0,4,2
11,11,11,0,0,2,1
14,14,15,0,0,2,1
10,10,10,0,0,2,2
12,12,12,0,1,6,2
9,9,10,0,0,75,3
9,9,9,0,0,22,4
8,8,9,1,1,15,4
10,11,10,0,0,8,4
8,8,8,0,0,30,4
10,9,11,1,0,19,3
12,12,12,0,0,1,1
10,9,8,0,1,4,1
11,9,10,0,0,4,2
11,10,12,0,0,2,1
19,18,18,0,0,5,2
12,12,13,0,0,6,1
14,14,15,0,0,6,2
15,13,15,0,0,9,4
11,11,12,0,0,11,4
15,15,15,0,0,0,4
13,12,12,1,0,12,2
18,18,18,0,0,6,3
14,13,14,0,0,8,3
11,12,14,0,0,4,3
8,8,10,0,0,10,4
14,13,14,0,0,0,4
16,15,16,0,0,5,4
11,10,12,0,0,14,4
10,11,11,0,0,0,4
14,12,15,0,0,0,4
18,17,17,0,0,0,3
13,14,15,1,0,20,3
12,12,14,1,0,8,2
18,18,17,0,0,0,3
8,9,8,1,0,38,4
12,12,15,1,0,0,3
10,10,12,1,1,18,1
13,12,14,0,0,20,2
11,11,13,1,0,3,1
11,10,13,1,0,22,3
13,13,15,2,0,14,1
11,11,13,1,0,40,2
9,10,9,0,0,9,4
10,11,11,0,0,0,3
11,11,11,0,0,2,4
13,13,13,0,0,23,4
9,9,11,0,0,12,2
11,11,11,0,0,3,2
15,14,12,0,0,1,3
15,15,16,0,0,0,0
11,12,9,0,0,3,4
16,15,14,0,0,3,3
10,10,11,0,0,8,2
9,9,10,0,0,7,4
14,14,14,0,0,4,4
8,8,9,0,0,2,2
14,14,12,0,0,7,2
15,15,16,0,0,16,3
13,13,14,1,0,12,3
17,15,16,0,0,7,3
10,10,9,0,0,4,3
11,12,11,1,0,4,2
15,15,16,0,0,11,3
10,10,11,0,0,4,2
14,13,13,0,0,7,3
16,15,16,0,0,9,4
9,10,10,0,0,0,4
15,15,13,0,0,0,4
13,13,11,1,0,10,3
8,7,8,3,0,8,1
13,13,13,0,0,2,3
8,7,8,1,0,7,1
8,8,8,1,0,4,1
11,11,13,0,0,4,4
9,9,10,0,0,0,3
13,13,12,0,0,4,4
11,12,12,0,0,2,3
10,10,10,0,0,4,1
16,16,18,0,0,0,1
13,13,13,0,0,0,1
12,12,13,1,0,2,1
10,11,11,0,0,0,3
15,15,16,0,0,0,4
12,11,12,0,0,0,1
10,10,10,0,0,4,1
13,13,13,0,0,0,4
10,10,11,0,0,0,2
11,12,14,0,0,10,4
9,7,7,2,0,4,3
12,12,14,0,0,3,1
11,11,13,0,0,8,2
5,5,6,0,0,14,1
19,18,19,0,0,0,4
10,8,8,0,0,2,1
15,14,15,2,0,4,4
10,9,8,0,0,4,4
15,15,15,0,0,0,3
10,10,10,0,0,17,3
14,14,15,0,0,4,4
7,6,7,0,0,5,2
10,11,11,0,0,2,2
5,5,6,1,0,14,4
10,9,10,0,0,2,2
6,5,6,0,0,7,4
8,9,7,0,0,0,3
9,9,9,2,0,11,2
16,16,14,0,0,3,3
7,8,10,3,0,3,1
10,12,11,0,0,0,3
9,9,8,0,0,5,1
